Player,NOTES
Jaylen Samuels,"Samuels has received just 122 carries in his first two seasons, and although he can factor in as a receiver at times, he doesn‘t have a path to regular playing time. Even if James Conner deals with injuries again, Benny Snell Jr. and Anthony McFarland Jr. stand in Samuels’ way. He‘s relevant only in extremely deep PPR leagues."
Chase Claypool,
Lamar Miller,
Houston (HOU),
Marquez Valdes-Scantling,"It seems that Valdes-Scantling got on the bad side of Aaron Rodgers early in his career, and then a move from the slot to the perimeter essentially decimated his fantasy potential. But did something happen this offseason that could get him back on track to the top-40 receiver he was being drafted as in 2019 fantasy drafts? Geronimo Allison was allowed to let walk in free agency, vacating the slot role once again. Valdes-Scantling seems like the natural replacement, as Davante Adams and Allen Lazard aren‘t primary slot receivers. That‘s great news considering Valdes-Scantling has averaged 1.02 more fantasy points per target in the slot than he has on the perimeter. That‘s the second-highest gap in football over the last two years, so you can say he‘s slot-dependent. If he can get back on Aaron Rodgers’ good side, he‘ll have some streamer-worthy weeks."
Austin Seibert,"Seibert was adequate last year hitting 86.2% of his field-goal attempts, though he was just 30-of-35 on extra points. The Cleveland offense should be improved this year, so there‘s a good chance that Seibert will see more than the 29 field-goal attempts he saw last year. Still, he‘s not worth drafting in standard-sized leagues, given his middling accuracy."
Nick Foles,"Foles finds himself in Chicago after missing most of the season last year with Jacksonville, including eventually getting benched. Although he had an incredible 2013 season and a magical playoff run in 2018, Foles has rarely been relevant in fantasy. He‘ll battle Mitchell Trubisky for the starting job, but it‘s worth noting that he has experience with Bill Lazor, John DeFilippo, and Juan Castillo, and could fit in in nicely with the Bears if given a shot. For now, however, Foles remains beyond fantasy consideration."
Josh Lambo,"Lambo had an outstanding 2019 season, hitting all but one of 34 field-goal attempts, including all four of his attempts from at least 50 yards. The Jaguars are likely to be playing from behind often this year, which could limit his chances. But given that he‘s hit at least 90.5% of his field-goal attempts in each of the last three seasons, he‘s worth considering as one of the last kickers off the board."
J.J. Arcega-Whiteside,
Mike Boone,
Washington (WAS),
KJ Hamler,"It‘s tough to like a rookie who‘s likely the fifth option in the passing game, right? I‘ll tell you that Hamler is a baller and can play both in the slot and on the perimeter. He‘s likely going to break a few plays this year that have you wondering if he‘s worth a pickup, but we must always go back to the fact that he‘s the fifth option (Sutton, Jeudy, Fant, Gordon all ahead) on a run-heavy team that will only come on the field in 3WR sets. If there‘s an injury to one of Jeudy or Sutton, he‘s someone I‘d snag off waivers, but you don‘t need to draft him."
Dare Ogunbowale,
Phillip Dorsett,"It‘s kind of crazy how some wide receivers are just glued to elite quarterbacks no matter where they go. Dorsett fits that bill after playing with Andrew Luck, Tom Brady, and now Russell Wilson. With no offseason, it may be difficult for him to get the nod over Moore, but if he did, his skill set would probably fit very well with Wilson. I say that because Wilson completed 48.2 percent of his passes over 20 yards and had a QB Rating of 119.2 on them. While in New England last year, he saw 17 deep balls, though only five were catchable. He caught all of them for 192 yards and three touchdowns. Both are battling for the No. 3 in targets, so it‘s not like either will be a weekly producer, but Dorsett is the one with the better pedigree, and his skill set aligns with Wilson‘s strength. If Lockett were to miss time, Dorsett actually played very well in the slot for the Patriots, catching 13-of-14 targets for 218 yards and three touchdowns. He‘s someone I‘ve snagged quite a few times at the end of best ball drafts."
Jacksonville (JAC),
Adam Humphries,"Remember when he was a target monster in Tampa Bay just two years ago and finished as a top-30 wide receiver? He dealt with injuries throughout the year, resulting in limited playing time and just 47 targets on the season. Even worse is that once A.J. Brown entered the lineup on a full-time basis, Humphries didn‘t see more than four targets in a game. Even if Humphries were to do something, it‘s not going to make you wonder how you missed it, because his ceiling is a fringe WR3. Shoot for upside in the later rounds. He doesn‘t have it."
Vance McDonald,"McDonald has always felt like he could be a breakout candidate one year, but those feelings are gone by this point. Although he‘ll return with the Steelers, Eric Ebron should see primary snaps from the tight end position, making McDonald an afterthought in fantasy. Either way, the oft-injured McDonald has cleared 391 receiving yards and 38 catches just once in his career, and is no longer a fantasy option, even in deeper leagues."
Devonta Freeman,
Lynn Bowden Jr.,"The Raiders used a second-round pick on Bowden, who‘s played numerous positions, though they‘re officially listing him as a running back. The Raiders clearly have better receivers on their roster heading into this season, and while they did allow DeAndre Washington and his 40 targets walk, it‘s tough to find very much work available to Bowden. He‘s a name to watch, though, as you don‘t spend a second-round pick on a player you don‘t have plans for. Keep him on waiver wire speed dial."
